,movie,link
119,Shoah: Four Sisters,https://https://www.metacritic.com/movie/shoah-four-sisters
120,The 39 Steps,https://https://www.metacritic.com/movie/the-39-steps
121,Duck Soup,https://https://www.metacritic.com/movie/duck-soup
122,Days of Heaven,https://https://www.metacritic.com/movie/days-of-heaven
123,Toni Erdmann,https://https://www.metacritic.com/movie/toni-erdmann
124,Yi Yi,https://https://www.metacritic.com/movie/yi-yi
125,McCabe & Mrs. Miller,https://https://www.metacritic.com/movie/mccabe-mrs-miller
126,Inside Llewyn Davis,https://https://www.metacritic.com/movie/inside-llewyn-davis
127,The Best Years of Our Lives,https://https://www.metacritic.com/movie/the-best-years-of-our-lives
128,Stagecoach,https://https://www.metacritic.com/movie/stagecoach
129,Sherpa,https://https://www.metacritic.com/movie/sherpa
130,There Will Be Blood,https://https://www.metacritic.com/movie/there-will-be-blood
131,Badlands,https://https://www.metacritic.com/movie/badlands
132,The Last Picture Show,https://https://www.metacritic.com/movie/the-last-picture-show
133,Do the Right Thing,https://https://www.metacritic.com/movie/do-the-right-thing
134,Sita Sings the Blues,https://https://www.metacritic.com/movie/sita-sings-the-blues
135,The Decline of Western Civilization,https://https://www.metacritic.com/movie/the-decline-of-western-civilization
136,Yojimbo,https://https://www.metacritic.com/movie/yojimbo
137,Rio Bravo,https://https://www.metacritic.com/movie/rio-bravo
138,Brother's Keeper,https://https://www.metacritic.com/movie/brothers-keeper
139,Sankofa,https://https://www.metacritic.com/movie/sankofa
140,Crumb,https://https://www.metacritic.com/movie/crumb
141,Spotlight,https://https://www.metacritic.com/movie/spotlight
142,The Band Wagon,https://https://www.metacritic.com/movie/the-band-wagon
143,One More Time with Feeling,https://https://www.metacritic.com/movie/one-more-time-with-feeling
144,Ride the High Country,https://https://www.metacritic.com/movie/ride-the-high-country
145,The Diving Bell and the Butterfly,https://https://www.metacritic.com/movie/the-diving-bell-and-the-butterfly
146,Invasion of the Body Snatchers,https://https://www.metacritic.com/movie/invasion-of-the-body-snatchers-1956
147,Mr. Bachmann and His Class,https://https://www.metacritic.com/movie/mr-bachmann-and-his-class
148,The Class,https://https://www.metacritic.com/movie/the-class
149,Platoon,https://https://www.metacritic.com/movie/platoon
150,35 Shots of Rum,https://https://www.metacritic.com/movie/35-shots-of-rum
151,Apocalypse Now: Final Cut,https://https://www.metacritic.com/movie/apocalypse-now-final-cut
152,Chinatown,https://https://www.metacritic.com/movie/chinatown
153,The Florida Project,https://https://www.metacritic.com/movie/the-florida-project
154,Timbuktu,https://https://www.metacritic.com/movie/timbuktu
155,Frenzy,https://https://www.metacritic.com/movie/frenzy
156,Brief Encounter,https://https://www.metacritic.com/movie/brief-encounter
157,No Country for Old Men,https://https://www.metacritic.com/movie/no-country-for-old-men
158,Cool Hand Luke,https://https://www.metacritic.com/movie/cool-hand-luke
159,Little Women,https://https://www.metacritic.com/movie/little-women-1933
160,Maborosi,https://https://www.metacritic.com/movie/maborosi
161,Top Hat,https://https://www.metacritic.com/movie/top-hat
162,Apocalypse Now Redux,https://https://www.metacritic.com/movie/apocalypse-now-redux
163,Nomadland,https://https://www.metacritic.com/movie/nomadland
164,Never Rarely Sometimes Always,https://https://www.metacritic.com/movie/never-rarely-sometimes-always
165,Annie Hall,https://https://www.metacritic.com/movie/annie-hall
166,The Lord of the Rings: The Fellowship of the Ring,https://https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring
167,Quiz Show,https://https://www.metacritic.com/movie/quiz-show
168,Leviathan,https://https://www.metacritic.com/movie/leviathan-2014
169,Werckmeister Harmonies,https://https://www.metacritic.com/movie/werckmeister-harmonies
170,Toy Story 3,https://https://www.metacritic.com/movie/toy-story-3
171,The Souvenir,https://https://www.metacritic.com/movie/the-souvenir
172,This Is Spinal Tap,https://https://www.metacritic.com/movie/this-is-spinal-tap
173,The Look of Silence,https://https://www.metacritic.com/movie/the-look-of-silence
174,Tower,https://https://www.metacritic.com/movie/tower
175,Drive My Car,https://https://www.metacritic.com/movie/drive-my-car
176,Moolaadé,https://https://www.metacritic.com/movie/moolaade
177,Atanarjuat: The Fast Runner,https://https://www.metacritic.com/movie/atanarjuat-the-fast-runner
178,Ikiru,https://https://www.metacritic.com/movie/ikiru
179,Time,https://https://www.metacritic.com/movie/time-2020
180,Gavagai,https://https://www.metacritic.com/movie/gavagai
181,The Man Who Would Be King,https://https://www.metacritic.com/movie/the-man-who-would-be-king
182,The Killing,https://https://www.metacritic.com/movie/the-killing
183,Swing Time,https://https://www.metacritic.com/movie/swing-time
184,Breaking Away,https://https://www.metacritic.com/movie/breaking-away
185,After Life,https://https://www.metacritic.com/movie/after-life
186,Son of Saul,https://https://www.metacritic.com/movie/son-of-saul
187,Love Affair,https://https://www.metacritic.com/movie/love-affair-1939
188,Frankenstein,https://https://www.metacritic.com/movie/frankenstein
189,8½,https://https://www.metacritic.com/movie/-1963
190,Little Women,https://https://www.metacritic.com/movie/little-women-2019
191,E.T. The Extra-Terrestrial,https://https://www.metacritic.com/movie/et-the-extra-terrestrial
192,The African Queen,https://https://www.metacritic.com/movie/the-african-queen
193,The Triplets of Belleville,https://https://www.metacritic.com/movie/the-triplets-of-belleville
194,The Queen,https://https://www.metacritic.com/movie/the-queen
195,Flee,https://https://www.metacritic.com/movie/flee
196,All Quiet on the Western Front,https://https://www.metacritic.com/movie/all-quiet-on-the-western-front
197,EX LIBRIS: The New York Public Library,https://https://www.metacritic.com/movie/ex-libris-new-york-public-library
198,A Bread Factory Part Two: Walk With Me a While,https://https://www.metacritic.com/movie/a-bread-factory-part-two
199,The Ladykillers,https://https://www.metacritic.com/movie/the-ladykillers-1955
200,Young Mr. Lincoln,https://https://www.metacritic.com/movie/young-mr-lincoln
201,Stories We Tell,https://https://www.metacritic.com/movie/stories-we-tell
202,A Bread Factory Part One: For the Sake of Gold,https://https://www.metacritic.com/movie/a-bread-factory-part-one
203,The Act of Killing,https://https://www.metacritic.com/movie/the-act-of-killing
204,On the Waterfront,https://https://www.metacritic.com/movie/on-the-waterfront
205,Jafar Panahi's Taxi,https://https://www.metacritic.com/movie/jafar-panahis-taxi
206,Ida,https://https://www.metacritic.com/movie/ida
207,Beau Travail,https://https://www.metacritic.com/movie/beau-travail
208,Her,https://https://www.metacritic.com/movie/her
209,Uncut Gems,https://https://www.metacritic.com/movie/uncut-gems
210,Waltz with Bashir,https://https://www.metacritic.com/movie/waltz-with-bashir
211,"This Is Not a Burial, It's a Resurrection",https://https://www.metacritic.com/movie/this-is-not-a-burial-its-a-resurrection
212,They Shall Not Grow Old,https://https://www.metacritic.com/movie/they-shall-not-grow-old
213,Secrets & Lies,https://https://www.metacritic.com/movie/secrets-lies
214,Memoria,https://https://www.metacritic.com/movie/memoria-2020
215,An Autumn Afternoon,https://https://www.metacritic.com/movie/an-autumn-afternoon
216,Patton,https://https://www.metacritic.com/movie/patton
217,The Favourite,https://https://www.metacritic.com/movie/the-favourite
218,The Sweet Hereafter,https://https://www.metacritic.com/movie/the-sweet-hereafter
219,TÁR,https://https://www.metacritic.com/movie/tar-2022
220,The Right Stuff,https://https://www.metacritic.com/movie/the-right-stuff
221,Bambi,https://https://www.metacritic.com/movie/bambi
222,Bringing Up Baby,https://https://www.metacritic.com/movie/bringing-up-baby
223,The Gatekeepers,https://https://www.metacritic.com/movie/the-gatekeepers
224,Nostalgia for the Light,https://https://www.metacritic.com/movie/nostalgia-for-the-light
225,The Rider,https://https://www.metacritic.com/movie/the-rider
