,movie,link,director,genre
195,Flee,https://www.metacritic.com/movie/flee,['Jonas Poher Rasmussen'],"['Biography', 'Drama', 'Animation', 'Documentary']"
196,All Quiet on the Western Front,https://www.metacritic.com/movie/all-quiet-on-the-western-front,['Lewis Milestone'],"['Drama', 'War']"
197,EX LIBRIS: The New York Public Library,https://www.metacritic.com/movie/ex-libris-new-york-public-library,['Frederick Wiseman'],['Documentary']
198,A Bread Factory Part Two: Walk With Me a While,https://www.metacritic.com/movie/a-bread-factory-part-two,['Patrick Wang'],"['Drama', 'Comedy']"
199,The Ladykillers,https://www.metacritic.com/movie/the-ladykillers-1955,['Alexander Mackendrick'],"['Comedy', 'Crime']"
200,Young Mr. Lincoln,https://www.metacritic.com/movie/young-mr-lincoln,['John Ford'],"['Biography', 'Drama']"
201,Stories We Tell,https://www.metacritic.com/movie/stories-we-tell,['Sarah Polley'],['Documentary']
202,A Bread Factory Part One: For the Sake of Gold,https://www.metacritic.com/movie/a-bread-factory-part-one,['Patrick Wang'],"['Drama', 'Comedy']"
203,The Act of Killing,https://www.metacritic.com/movie/the-act-of-killing,"['Anonymous', 'Christine Cynn', 'Joshua Oppenheimer']","['History', 'Crime', 'Documentary']"
204,On the Waterfront,https://www.metacritic.com/movie/on-the-waterfront,['Elia Kazan'],"['Drama', 'Romance', 'Crime']"
205,Jafar Panahi's Taxi,https://www.metacritic.com/movie/jafar-panahis-taxi,['Jafar Panahi'],"['Drama', 'Comedy']"
206,Ida,https://www.metacritic.com/movie/ida,['Pawel Pawlikowski'],['Drama']
207,Beau Travail,https://www.metacritic.com/movie/beau-travail,['Claire Denis'],['Drama']
208,Her,https://www.metacritic.com/movie/her,['Spike Jonze'],"['Sci-Fi', 'Drama', 'Comedy', 'Romance']"
209,Uncut Gems,https://www.metacritic.com/movie/uncut-gems,"['Ben Safdie', 'Joshua Safdie']","['Drama', 'Mystery', 'Thriller', 'Comedy', 'Crime']"
210,Waltz with Bashir,https://www.metacritic.com/movie/waltz-with-bashir,['Ari Folman'],"['Biography', 'Drama', 'War', 'Animation']"
211,"This Is Not a Burial, It's a Resurrection",https://www.metacritic.com/movie/this-is-not-a-burial-its-a-resurrection,['Lemohang Jeremiah Mosese'],['Drama']
212,They Shall Not Grow Old,https://www.metacritic.com/movie/they-shall-not-grow-old,['Peter Jackson'],"['History', 'War', 'Documentary']"
213,Secrets & Lies,https://www.metacritic.com/movie/secrets-lies,['Mike Leigh'],"['Drama', 'Comedy']"
214,Memoria,https://www.metacritic.com/movie/memoria-2020,['Apichatpong Weerasethakul'],"['Sci-Fi', 'Drama']"
215,An Autumn Afternoon,https://www.metacritic.com/movie/an-autumn-afternoon,['Yasujiro Ozu'],['Drama']
216,Patton,https://www.metacritic.com/movie/patton,['Franklin J. Schaffner'],"['Biography', 'Drama', 'War']"
217,The Favourite,https://www.metacritic.com/movie/the-favourite,['Giorgos Lanthimos'],"['Biography', 'Drama', 'History', 'Comedy']"
